id,first_name,last_name,party,state,type,website
C000127+A2:F692,Maria,Cantwell,Democrat,WA,sen,https://www.cantwell.senate.gov/news/press-releases
K000367,Amy,Klobuchar,Democrat,MN,sen,https://www.klobuchar.senate.gov/public/index.cfm/news-releases
S000033,Bernard,Sanders,Independent,VT,sen,https://www.sanders.senate.gov/media/ 
W000802,Sheldon,Whitehouse,Democrat,RI,sen,https://www.whitehouse.senate.gov/news/release/
B001261,John,Barrasso,Republican,WY,sen,https://www.barrasso.senate.gov/newsroom/news-releases/
W000437,Roger,Wicker,Republican,MS,sen,https://www.wicker.senate.gov/press-releases
C001035,Susan,Collins,Republican,ME,sen,https://www.collins.senate.gov/newsroom/press-releases
C001056,John,Cornyn,Republican,TX,sen,https://www.cornyn.senate.gov/news/
D000563,Richard,Durbin,Democrat,IL,sen,https://www.durbin.senate.gov/newsroom/press-releases
G000359,Lindsey,Graham,Republican,SC,sen,https://www.lgraham.senate.gov/public/index.cfm/press-releases
M000355,Mitch,McConnell,Republican,KY,sen,https://www.mcconnell.senate.gov/public/index.cfm/pressreleases
M001176,Jeff,Merkley,Democrat,OR,sen,https://www.merkley.senate.gov/news/press-releases/
R000122,John,Reed,Democrat,RI,sen,https://www.reed.senate.gov/news/releases
R000584,James,Risch,Republican,ID,sen,https://www.risch.senate.gov/public/index.cfm/pressreleases
S001181,Jeanne,Shaheen,Democrat,NH,sen,https://www.shaheen.senate.gov/news/press
W000805,Mark,Warner,Democrat,VA,sen,https://www.warner.senate.gov/public/index.cfm/pressreleases 
G000555,Kirsten,Gillibrand,Democrat,NY,sen,https://www.gillibrand.senate.gov/press-releases/
C001088,Christopher,Coons,Democrat,DE,sen,https://www.coons.senate.gov/news
A000055,Robert,Aderholt,Republican,AL,rep,https://aderholt.house.gov/media-center/press-releases
B001230,Tammy,Baldwin,Democrat,WI,sen,https://www.baldwin.senate.gov/news/press-releases
B001267,Michael,Bennet,Democrat,CO,sen,https://www.bennet.senate.gov/news/
B001257,Gus,Bilirakis,Republican,FL,rep,https://bilirakis.house.gov/media/press-releases
B000490,Sanford,Bishop,Democrat,GA,rep,https://bishop.house.gov/media-center/press-releases
B001243,Marsha,Blackburn,Republican,TN,sen,https://www.blackburn.senate.gov/news/cc8c80c1-d564-4bbb-93a4-f1d772346ae0
B001277,Richard,Blumenthal,Democrat,CT,sen,https://www.blumenthal.senate.gov/newsroom
B001236,John,Boozman,Republican,AR,sen,https://www.boozman.senate.gov/press-releases
B001260,Vern,Buchanan,Republican,FL,rep,https://buchanan.house.gov/press-releases
C000059,Ken,Calvert,Republican,CA,rep,https://calvert.house.gov/media/press-releases
C001047,Shelley,Capito,Republican,WV,sen,https://www.capito.senate.gov/news/press-releases 
C001072,Andre,Carson,Democrat,IN,rep,https://carson.house.gov/media/press-releases
C001051,John,Carter,Republican,TX,rep,https://carter.house.gov/news/documentquery.aspx?DocumentTypeID=27
C001075,Bill,Cassidy,Republican,LA,sen,https://www.cassidy.senate.gov/newsroom/press-releases/
C001066,Kathy,Castor,Democrat,FL,rep,https://castor.house.gov/news/documentquery.aspx?DocumentTypeID=821
C001080,Judy,Chu,Democrat,CA,rep,https://chu.house.gov/media-center/press-releases
C001067,Yvette,Clarke,Democrat,NY,rep,https://clarke.house.gov/category/pr/
C001061,Emanuel,Cleaver,Democrat,MO,rep,https://cleaver.house.gov/media-center/press-releases
C000537,James,Clyburn,Democrat,SC,rep,https://clyburn.house.gov/press-releases/
C001068,Steve,Cohen,Democrat,TN,rep,https://cohen.house.gov/media-center/press-releases
C001053,Tom,Cole,Republican,OK,rep,https://cole.house.gov/media-center/press-releases
